latitude,longitude,collision,distance_to_forest,forestHubName,distance_to_railway,railwayHubName,distance_to_water,waterHubName
6.016412825,80.28074635,0,2833.178678,633233495,2423.277971,228885147,1180.885399,85
5.974890233,80.53709607,0,4441.743959,1332445804,2972.907305,496943028,973.5159631,888
5.948188894,80.56215543,0,5459.796357,8376980,1168.664368,496943028,573.3993166,14446
6.02089231,80.22692039,0,1313.481736,13650539,1992.655776,8072149,1312.904629,17024
5.950238825,80.55901669,0,5563.852551,8376980,756.7083621,496943028,15068.12945,610
5.936390464,80.53174721,0,688.1645853,1332445804,2241.385576,102339499,524.382244,106
5.931797326,80.53105183,0,797.4107228,1332445804,2487.16147,102339499,659.4003887,16441
6.011693088,80.20350035,0,2097.061748,449512669,2979.638499,6504056,2102.002746,16487
5.973699416,80.53889415,0,4379.005906,1332445804,2750.948457,496943028,1088.413452,888
6.058729901,80.21756475,0,132.9390751,533297441,1929.237235,19314715,423.718353,96
6.010247204,80.21351682,0,1697.97291,449512669,2894.005085,6504056,1835.478767,15816
6.002233876,80.31253789,0,1027.25498,28335369,1214.204372,197368557,1919.358815,11591
6.423945232,80.01609954,0,1433.517526,652120128,2124.016855,98399597,3471.292649,900
6.044629251,80.17193991,0,1884.724122,533970654,2178.595085,8873168,1450.451844,5160
6.184381979,80.07596995,0,3774.389344,1471771183,1477.157514,98403454,556.3758469,201
6.072457346,80.15597424,0,2467.512314,533970657,1415.474265,98401616,1793.994604,5167
6.0896023,80.15166281,0,2879.622172,1158625633,588.0510327,98401616,58.39140612,10785
6.24577488,80.05849057,0,1563.240996,1443796014,973.4761381,98401993,724.7570198,10068
6.265106387,80.02960866,0,4331.199947,1443796014,4944.758685,98399562,4381.341668,12658
6.316941382,80.03700596,0,7508.290049,1443796014,846.7857484,98399562,5421.45619,9726
6.11762699,80.11344493,0,1529.23268,1152410363,155.5974441,98401990,1863.84814,451
6.556390876,79.9757399,0,1720.380754,1216904165,1471.409696,98399596,395.2671203,14963
6.700717288,79.88943054,0,3243.62055,1185457550,2344.559591,98391479,4633.660513,70
6.651814414,79.91572708,0,2761.341069,1201646857,2985.775142,29476220,3416.309883,14737
6.540469705,79.98473177,0,751.3138266,1216904165,1423.203264,419771043,470.3230101,14768
6.594632466,79.96822766,0,275.4809323,1216697952,3392.180465,98399596,6899.749791,4464
6.724543675,79.90269558,0,941.7088034,1185457559,863.65343,482545364,1637.287836,14726
6.682672922,79.93683247,0,646.272833,1201646860,5036.214475,29476220,979.1778585,70
7.102395213,79.99916202,0,1359.099219,432317954,565.0328389,318705194,605.681538,12605
8.356464705,81.0140485,0,5728.614463,9449594,7900.784307,1333526685,3432.007911,647
8.559156429,81.23087918,0,1302.245418,7730460,8217.592441,439342829,754.3382061,702
8.585406454,81.22551734,0,2030.331769,547679524,118.635327,439342826,496.9702585,12186
8.560639764,81.22583757,0,1694.687248,7730460,7736.79047,439342829,1259.216647,702
8.573895536,81.20272085,0,3888.883261,834530984,6193.463886,439342829,1025.969087,13551
8.59414432,81.24046427,0,2412.050281,547679525,10863.99207,439342829,2620.753173,2132
8.572479084,81.25243574,0,1528.829313,540481977,10933.57932,439342829,2053.440073,702
8.5473445,81.20236888,0,999.5183183,17632326,4853.718004,439342829,1254.707934,15677
8.562304878,81.21477229,0,2685.421904,7730460,6664.083928,439342829,1820.473701,12175
8.270121185,80.96119589,0,12133.24817,9134251,2387.615727,452891295,6386.505124,607
7.944663415,81.42047549,0,934.846972,454163237,2985.234474,456304824,7664.974025,2764
7.95065231,81.31367411,0,8824.397266,9096330,2100.599071,475933568,8394.861209,2764
7.252380195,80.12546193,0,4178.803678,1106114178,1784.940436,462445257,14985.87886,804
