TimeOfDay,Name,RoadDistance,Date_parsed,Elevation,LC_40.0,LC_90.0,Season,EleID,Year,LC_10.0,LC_60.0,Datetime_standard,Month,HumanDistance,LC_50.0,longitude,LandCover2,latitude,WaterDistance,NDVI_normalized,LC_20.0,Day,Hour,DayOfWeek,Protected,ElephantPresent,LC_80.0,LC_30.0
Evening,Wira,6034.499895,,72.0,0,0,,621993,,1,0,,,653.3898928,0,80.07252028,10.0,7.865735408,516.9533453,0.87,0,,20,,0,1,0,0
Night,Negative,401204.4907,2010-09-04,84.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-04 00:00:00,9.0,401510.5496,0,84.27617207147864,10.0,4.264522075978246,398831.7056,-0.2,0,4.0,0,5.0,0,0,0,0
Early Morning,Udani,3400.416258,,44.0,0,0,,621514,,1,0,,,2129.780349,0,81.68356109,10.0,7.356593773,3280.078173,0.8631,0,,8,,0,1,0,0
Evening,Negative,1115.048663,2009-03-07,10.0,0,0,Inter-Monsoon,0,2009.0,0,1,2009-03-07 20:00:00,3.0,417.9268672,0,80.15434426299922,60.0,4.268809249645333,1011.359446,0.6874,0,7.0,20,5.0,0,0,0,0
Midday,Sugala,1231.774549,,8.0,0,0,,621513,,0,0,,,2262.185858,0,81.71583361,30.0,7.322687418,498.48862,0.8137,0,,12,,0,1,0,1
Evening,Negative,480.4430664,2009-12-04,16.0,0,0,Dry,0,2009.0,1,0,2009-12-04 20:00:00,12.0,1449.497527,0,83.60789734191782,10.0,6.218220264244184,5503.669844,0.8402,0,4.0,20,4.0,1,0,0,0
Night,Negative,143.5193619,2010-05-07,9.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-05-07 04:00:00,5.0,2754.937194,0,82.20033301762331,40.0,7.703784811386091,5609.338295,0.7429,0,7.0,4,4.0,0,0,0,0
Early Morning,Wanamali,1403.026119,2009-12-05 00:00:00,39.0,0,0,Dry,621512,2009.0,1,0,2009-12-05 08:00:00,12.0,1919.522877,0,81.09571275,10.0,6.22783492,1889.094204,0.7581,0,5.0,8,5.0,0,1,0,0
Early Morning,Negative,1070.236594,2010-02-05,10.0,1,0,Dry,0,2010.0,0,0,2010-02-05 08:00:00,2.0,351.455844,0,84.06659371022612,40.0,7.509199487389522,1675.122865,0.7758,0,5.0,8,4.0,0,0,0,0
Afternoon,Madara,364.6977999,,87.0,0,0,,621994,,1,0,,,242.5660801,0,80.30074226,10.0,7.981265312,255.4665828,0.8382,0,,16,,0,1,0,0
Night,Soma,1062.905727,,8.0,0,0,,621995,,0,0,,,4813.941319,0,81.18480432,30.0,8.106497724,12182.8671,0.48,0,,0,,1,1,0,1
Afternoon,Negative,143.5193619,2010-05-02,9.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-05-02 16:00:00,5.0,2754.937194,0,82.39624839357721,40.0,7.759522911722927,5609.338295,0.7429,0,2.0,16,6.0,0,0,0,0
Afternoon,Negative,401433.7911,2010-02-02,84.0,0,0,Dry,0,2010.0,1,0,2010-02-02 16:00:00,2.0,401727.8367,0,84.32718467612956,10.0,5.876270306836151,399051.0405,-0.2,0,2.0,16,1.0,0,0,0,0
Afternoon,Negative,1115.048663,2009-12-04,10.0,0,0,Dry,0,2009.0,0,1,2009-12-04 16:00:00,12.0,417.9268672,0,80.70426460189869,60.0,5.8145869382214785,1011.359446,0.6874,0,4.0,16,4.0,0,0,0,0
Night,Negative,401433.7911,2010-02-06,84.0,0,0,Dry,0,2010.0,1,0,2010-02-06 04:00:00,2.0,401727.8367,0,84.44077494390297,10.0,4.645908320639328,399051.0405,-0.2,0,6.0,4,5.0,0,0,0,0
Afternoon,Negative,1551.233711,2009-12-09,198.0,0,0,Dry,0,2009.0,1,0,2009-12-09 16:00:00,12.0,700.479064,0,80.82106433985226,10.0,7.249980985522942,3485.54485,0.7697,0,9.0,16,2.0,0,0,0,0
Evening,Negative,480.4430664,2010-03-04,16.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-04 20:00:00,3.0,1449.497527,0,82.85649887235694,10.0,6.075526689233021,5503.669844,0.8402,0,4.0,20,3.0,1,0,0,0
Afternoon,Madara,109.5127077,,103.0,0,0,,621994,,1,0,,,518.8177823,0,80.33653726,10.0,7.992341011,423.05785,0.8103,0,,16,,0,1,0,0
Night,Ekes,5570.855805,2009-05-03 00:00:00,130.0,0,0,Inter-Monsoon,621996,2009.0,1,0,2009-05-03 04:00:00,5.0,4501.734881,0,81.17081479,10.0,6.58162872,754.8745119,0.7208,0,3.0,4,6.0,0,1,0,0
Evening,Negative,238.4170497,2010-03-10,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-10 20:00:00,3.0,961.332115,0,81.58425389424231,10.0,5.045028338656378,660.8787428,0.7716,0,10.0,20,2.0,1,0,0,0
Early Morning,Madara,856.3516439,2009-11-10 00:00:00,97.0,0,0,Inter-Monsoon-2,621994,2009.0,1,0,2009-11-10 08:00:00,11.0,347.9355469,0,80.30306475,10.0,7.949250207,922.6233451,0.7727,0,10.0,8,1.0,0,1,0,0
Early Morning,Udani,411.7790468,,26.0,0,0,,621514,,1,0,,,2425.698271,0,81.71163239,10.0,7.329894023,1281.604831,0.8089,0,,8,,0,1,0,0
Evening,Hurululiya,108.7635337,2010-01-06 00:00:00,165.0,0,0,Dry,621998,2010.0,1,0,2010-01-06 20:00:00,1.0,650.7799805,0,80.79581301,10.0,8.095851024,3126.448876,0.8607,0,6.0,20,2.0,1,1,0,0
Midday,Negative,480.4430664,2010-04-03,16.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-03 12:00:00,4.0,1449.497527,0,82.6847510562034,10.0,5.975161748976294,5503.669844,0.8402,0,3.0,12,5.0,1,0,0,0
Night,Negative,894.8593567,2009-12-09,12.0,0,0,Dry,0,2009.0,0,0,2009-12-09 00:00:00,12.0,1314.614974,0,80.7303546336264,30.0,6.026983191431897,750.2988052,0.8393,0,9.0,0,2.0,0,0,0,1
Night,Negative,480.4430664,2010-05-07,16.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-07 04:00:00,5.0,1449.497527,0,82.91603799445478,10.0,6.010980444748512,5503.669844,0.8402,0,7.0,4,4.0,1,0,0,0
Night,Negative,143.5193619,2010-05-03,9.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-05-03 04:00:00,5.0,2754.937194,0,82.35429859443435,40.0,8.106045806840077,5609.338295,0.7429,0,3.0,4,0.0,0,0,0,0
Midday,Kumari,5726.751197,,85.0,0,0,,622000,,1,0,,,1075.416307,0,80.09019959,10.0,7.856901429,854.359966,0.7678,0,,12,,0,1,0,0
Night,Madara,153.2759082,,80.0,1,0,,621994,,0,0,,,491.3073835,0,80.35687818,40.0,8.028562195,6457.704428,0.7416,0,,0,,0,1,0,0
Midday,Negative,3404.336118,2009-02-10,33.0,0,0,Dry,0,2009.0,1,0,2009-02-10 12:00:00,2.0,1848.979999,0,81.4114990908375,10.0,7.968152316324492,6113.527868,0.8707,0,10.0,12,1.0,0,0,0,0
Afternoon,Sakunthala,718.7950563,,83.0,0,0,,621992,,1,0,,,2484.034271,0,81.07743113,10.0,6.388507632,2190.888168,0.8299,0,,16,,1,1,0,0
Early Morning,Negative,1115.048663,2010-09-10,10.0,0,0,Inter-Monsoon-2,0,2010.0,0,1,2010-09-10 08:00:00,9.0,417.9268672,0,80.68047260399982,60.0,4.58449984366777,1011.359446,0.6874,0,10.0,8,4.0,0,0,0,0
Midday,Ekes,4723.446381,2009-06-06 00:00:00,128.0,0,0,Southwest-Monsoon,621996,2009.0,0,0,2009-06-06 12:00:00,6.0,3636.282239,0,81.16660262,30.0,6.591327541,14317.71032,0.7304,0,6.0,12,5.0,0,1,0,1
Night,Udani,1043.258049,2009-11-04 00:00:00,10.0,0,0,Inter-Monsoon-2,621514,2009.0,0,0,2009-11-04 00:00:00,11.0,3836.363448,0,81.72716966,30.0,7.273852642,519.0550132,0.6662,0,4.0,0,2.0,0,1,0,1
Midday,Negative,401204.4907,2010-09-09,84.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-09 12:00:00,9.0,401510.5496,0,83.0655703893367,10.0,4.674679240656104,398831.7056,-0.2,0,9.0,12,3.0,0,0,0,0
Early Morning,Negative,1551.233711,2009-11-02,198.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-11-02 08:00:00,11.0,700.479064,0,80.78122718280291,10.0,7.3955158528626,3485.54485,0.7697,0,2.0,8,0.0,0,0,0,0
Afternoon,Udani,228.0605083,,19.0,0,0,,621514,,0,0,,,3112.85467,0,81.71720889,30.0,7.310239103,1368.079275,0.7928,0,,16,,0,1,0,1
Afternoon,Negative,480.4430664,2010-01-12,16.0,0,0,Dry,0,2010.0,1,0,2010-01-12 16:00:00,1.0,1449.497527,0,83.44638024421556,10.0,6.395847520601187,5503.669844,0.8402,0,12.0,16,1.0,1,0,0,0
Afternoon,Sakunthala,2997.058862,2010-05-09 00:00:00,79.0,0,0,Inter-Monsoon,621992,2010.0,1,0,2010-05-09 16:00:00,5.0,2701.606157,0,81.04721177,10.0,6.396571441,18034.2121,0.7853,0,9.0,16,6.0,1,1,0,0
Evening,Negative,480.4430664,2010-04-02,16.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-02 20:00:00,4.0,1449.497527,0,82.8684171930062,10.0,5.843265715180382,5503.669844,0.8402,0,2.0,20,4.0,1,0,0,0
Night,Madara,818.158755,,99.0,0,0,,621994,,1,0,,,672.0701053,0,80.30160312,10.0,7.992600037,328.6718516,0.8387,0,,4,,0,1,0,0
Early Morning,Sakunthala,2680.305761,2009-12-03 00:00:00,39.0,0,0,Dry,621992,2009.0,0,0,2009-12-03 08:00:00,12.0,3890.703455,0,81.14763904,30.0,6.299758352,1249.607774,0.8881,0,3.0,8,3.0,0,1,0,1
Evening,Negative,1115.048663,2009-06-09,10.0,0,0,Southwest-Monsoon,0,2009.0,0,1,2009-06-09 20:00:00,6.0,417.9268672,0,80.96186122217729,60.0,5.954950424446412,1011.359446,0.6874,0,9.0,20,1.0,0,0,0,0
